=== Création du fichier log le vendredi 5 mars 2017 à 14:10:50 ===
[2017-03-17 14:10:50] Server up at 172.17.0.130:8080
[2017-03-17 14:10:51] PANEL | 195.221.251.187 | Admin connected to panel
[2017-03-17 14:10:51] PANEL | 195.221.251.187 | Receving cat DataBase
[2017-03-17 14:10:51] PANEL | 195.221.251.187 | Checking the state of cat DataBase...
[2017-03-17 14:10:51] PANEL | 195.221.251.187 | Sending cat DataBase to client
[2017-03-17 14:10:51] PANEL | 195.221.251.187 | Checking the state of dog DataBase...
[2017-03-17 14:10:51] PANEL | 195.221.251.187 | Receving dog DataBase
[2017-03-17 14:10:51] PANEL | 195.221.251.187 | Sending dog DataBase to client
[2017-03-17 14:10:51] PANEL | 195.221.251.187 | Geting UID...
[2017-03-17 14:10:51] PANEL | 195.221.251.187 | Sending UID...
[2017-03-17 14:10:51] PANEL | 195.221.251.187 | All sending steps are successful
[2017-03-17 14:10:55] PANEL | X | Admin connected to panel
[2017-03-17 14:10:55] PANEL | X | Checking the state of cat DataBase...
[2017-03-17 14:10:55] PANEL | X | Receving cat DataBase
[2017-03-17 14:10:55] PANEL | X | Sending cat DataBase to client
[2017-03-17 14:10:55] PANEL | X | Checking the state of dog DataBase...
[2017-03-17 14:10:55] PANEL | X | Receving dog DataBase
[2017-03-17 14:10:55] PANEL | X | Sending dog DataBase to client
[2017-03-17 14:10:55] PANEL | X | Geting UID...
[2017-03-17 14:10:55] PANEL | X | Sending UID...
[2017-03-17 14:10:55] PANEL | X | All sending steps are successful
[2017-03-17 14:10:58] PANEL | X | Upload fail
[2017-03-17 14:10:58] PANEL | X | Upload Starting
[2017-03-17 14:10:59] X | tets
