=== Création du fichier log le vendredi 5 mars 2017 à 15:10:40 ===
[2017-03-17 15:10:40] Server up at 172.17.0.130:8080
[2017-03-17 15:10:41] X | Receving a new connection
[2017-03-17 15:10:41] X | Sending a new client ID : 0
[2017-03-17 15:10:42] 0 | User connected with ID
[2017-03-17 15:11:02] PANEL | X | Admin connected to panel
[2017-03-17 15:11:02] PANEL | X | Checking the state of cat DataBase...
[2017-03-17 15:11:02] PANEL | X | Receving cat DataBase
[2017-03-17 15:11:02] PANEL | X | Sending cat DataBase to client
[2017-03-17 15:11:02] PANEL | X | Checking the state of dog DataBase...
[2017-03-17 15:11:02] PANEL | X | Receving dog DataBase
[2017-03-17 15:11:02] PANEL | X | Sending dog DataBase to client
[2017-03-17 15:11:02] PANEL | X | Geting UID...
[2017-03-17 15:11:02] PANEL | X | Sending UID...
[2017-03-17 15:11:02] PANEL | X | All sending steps are successful
[2017-03-17 15:11:25] PANEL | X | Upload Starting
[2017-03-17 15:11:36] PANEL | X | Upload complete
[2017-03-17 15:11:36] X | User disconnected
[2017-03-17 15:12:11] PANEL | X | Upload Starting
[2017-03-17 15:12:20] PANEL | X | Upload complete
[2017-03-17 15:12:23] PANEL | X | Admin connected to panel
[2017-03-17 15:12:23] PANEL | X | Checking the state of cat DataBase...
[2017-03-17 15:12:23] PANEL | X | Receving cat DataBase
[2017-03-17 15:12:23] PANEL | X | Sending cat DataBase to client
[2017-03-17 15:12:23] PANEL | X | Checking the state of dog DataBase...
[2017-03-17 15:12:23] PANEL | X | Receving dog DataBase
[2017-03-17 15:12:23] PANEL | X | Sending dog DataBase to client
[2017-03-17 15:12:23] PANEL | X | Geting UID...
[2017-03-17 15:12:23] PANEL | X | Sending UID...
[2017-03-17 15:12:23] PANEL | X | All sending steps are successful
[2017-03-17 15:12:30] PANEL | X | Upload Starting
[2017-03-17 15:12:41] PANEL | X | Upload complete
[2017-03-17 15:12:41] X | User disconnected
[2017-03-17 15:20:42] PANEL | 195.221.251.187 | Admin connected to panel
[2017-03-17 15:20:42] PANEL | 195.221.251.187 | Checking the state of cat DataBase...
[2017-03-17 15:20:42] PANEL | 195.221.251.187 | Receving cat DataBase
[2017-03-17 15:20:42] PANEL | 195.221.251.187 | Sending cat DataBase to client
[2017-03-17 15:20:42] PANEL | 195.221.251.187 | Checking the state of dog DataBase...
[2017-03-17 15:20:42] PANEL | 195.221.251.187 | Receving dog DataBase
[2017-03-17 15:20:42] PANEL | 195.221.251.187 | Sending dog DataBase to client
[2017-03-17 15:20:42] PANEL | 195.221.251.187 | Geting UID...
[2017-03-17 15:20:42] PANEL | 195.221.251.187 | Sending UID...
[2017-03-17 15:20:42] PANEL | 195.221.251.187 | All sending steps are successful
[2017-03-17 15:21:15] PANEL | X | Receving new cat
[2017-03-17 15:21:15] PANEL | X | Pushing cat info's on DataBase...
[2017-03-17 15:21:15] PANEL | X | Pushing successful for the cat: CHATON N°250268501104915
[2017-03-17 15:21:15] PANEL | X | Sending CHATON to connected admins
[2017-03-17 15:21:15] PANEL | X | Sending CHATON successful
[2017-03-17 15:21:15] PANEL | X | Sending CHATON to connected users
[2017-03-17 15:21:15] PANEL | X | Sending CHATON successful
[2017-03-17 15:21:15] PANEL | X | Pushing CHATON on DataBase successful
[2017-03-17 15:22:03] X | User disconnected
