=== Création du fichier log le vendredi 5 mars 2017 à 17:28:27 ===
[2017-03-17 17:28:27] Server up at 172.17.0.130:8080
[2017-03-17 17:28:29] PANEL | X | Admin connected to panel
[2017-03-17 17:28:29] PANEL | X | Checking the state of cat DataBase...
[2017-03-17 17:28:29] PANEL | X | Receving cat DataBase
[2017-03-17 17:28:29] PANEL | X | Sending cat DataBase to client
[2017-03-17 17:28:29] PANEL | X | Checking the state of dog DataBase...
[2017-03-17 17:28:29] PANEL | X | Receving dog DataBase
[2017-03-17 17:28:29] PANEL | X | Sending dog DataBase to client
[2017-03-17 17:28:29] PANEL | X | Sending UID...
[2017-03-17 17:28:29] PANEL | X | Geting UID...
[2017-03-17 17:28:29] PANEL | X | All sending steps are successful
[2017-03-17 17:29:16] PANEL | X | Upload Starting
[2017-03-17 17:29:16] PANEL | X | Upload complete
[2017-03-17 17:29:32] X | User disconnected
[2017-03-17 17:29:34] PANEL | 88.185.57.63 | Admin connected to panel
[2017-03-17 17:29:34] PANEL | 88.185.57.63 | Receving cat DataBase
[2017-03-17 17:29:34] PANEL | 88.185.57.63 | Checking the state of dog DataBase...
[2017-03-17 17:29:34] PANEL | 88.185.57.63 | Checking the state of cat DataBase...
[2017-03-17 17:29:34] PANEL | 88.185.57.63 | Sending cat DataBase to client
[2017-03-17 17:29:34] PANEL | 88.185.57.63 | Receving dog DataBase
[2017-03-17 17:29:34] PANEL | 88.185.57.63 | Sending dog DataBase to client
[2017-03-17 17:29:34] PANEL | 88.185.57.63 | Geting UID...
[2017-03-17 17:29:34] PANEL | 88.185.57.63 | Sending UID...
[2017-03-17 17:29:34] PANEL | 88.185.57.63 | All sending steps are successful
[2017-03-17 17:29:59] PANEL | X | Upload Starting
[2017-03-17 17:29:59] PANEL | X | Upload complete
[2017-03-17 17:30:01] PANEL | 88.185.57.63 | Receving new cat
[2017-03-17 17:30:01] PANEL | 88.185.57.63 | Pushing successful for the cat: CHATON N°250268501104915
[2017-03-17 17:30:01] PANEL | 88.185.57.63 | Pushing cat info's on DataBase...
[2017-03-17 17:30:01] PANEL | 88.185.57.63 | Sending CHATON to connected admins
[2017-03-17 17:30:01] PANEL | 88.185.57.63 | Sending CHATON successful
[2017-03-17 17:30:01] PANEL | 88.185.57.63 | Sending CHATON to connected users
[2017-03-17 17:30:01] PANEL | 88.185.57.63 | Sending CHATON successful
[2017-03-17 17:30:01] PANEL | 88.185.57.63 | Pushing CHATON on DataBase successful
[2017-03-17 17:30:04] X | User disconnected
[2017-03-17 17:30:05] PANEL | 88.185.57.63 | Admin connected to panel
[2017-03-17 17:30:05] PANEL | 88.185.57.63 | Checking the state of cat DataBase...
[2017-03-17 17:30:05] PANEL | 88.185.57.63 | Receving cat DataBase
[2017-03-17 17:30:05] PANEL | 88.185.57.63 | Sending cat DataBase to client
[2017-03-17 17:30:05] PANEL | 88.185.57.63 | Checking the state of dog DataBase...
[2017-03-17 17:30:05] PANEL | 88.185.57.63 | Receving dog DataBase
[2017-03-17 17:30:05] PANEL | 88.185.57.63 | Sending dog DataBase to client
[2017-03-17 17:30:05] PANEL | 88.185.57.63 | Geting UID...
[2017-03-17 17:30:05] PANEL | 88.185.57.63 | Sending UID...
[2017-03-17 17:30:05] PANEL | 88.185.57.63 | All sending steps are successful
[2017-03-17 17:46:46] X | User disconnected
[2017-03-17 18:07:14] PANEL | 88.185.57.63 | Admin connected to panel
[2017-03-17 18:07:14] PANEL | 88.185.57.63 | Checking the state of cat DataBase...
[2017-03-17 18:07:14] PANEL | 88.185.57.63 | Receving cat DataBase
[2017-03-17 18:07:14] PANEL | 88.185.57.63 | Sending cat DataBase to client
[2017-03-17 18:07:14] PANEL | 88.185.57.63 | Checking the state of dog DataBase...
[2017-03-17 18:07:14] PANEL | 88.185.57.63 | Receving dog DataBase
[2017-03-17 18:07:14] PANEL | 88.185.57.63 | Sending dog DataBase to client
[2017-03-17 18:07:14] PANEL | 88.185.57.63 | Geting UID...
[2017-03-17 18:07:14] PANEL | 88.185.57.63 | Sending UID...
[2017-03-17 18:07:14] PANEL | 88.185.57.63 | All sending steps are successful
